category,value,observation_type,month,date
47.11+47.2 retail sale with mostly food,,Constant prices,2017M12,2017-12-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,98.1,Constant prices,2017M12,2017-12-01
47.64 sports shops,107.2,Constant prices,2017M12,2017-12-01
47.71 clothing stores,146.3,Constant prices,2017M12,2017-12-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",165.8,Constant prices,2017M12,2017-12-01
47.11+47.2 retail sale with mostly food,,Constant prices,2018M01,2018-01-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,96.6,Constant prices,2018M01,2018-01-01
47.64 sports shops,66.9,Constant prices,2018M01,2018-01-01
47.71 clothing stores,98.6,Constant prices,2018M01,2018-01-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",91.7,Constant prices,2018M01,2018-01-01
47.11+47.2 retail sale with mostly food,,Constant prices,2018M02,2018-02-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,82.1,Constant prices,2018M02,2018-02-01
47.64 sports shops,67.5,Constant prices,2018M02,2018-02-01
47.71 clothing stores,76.5,Constant prices,2018M02,2018-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",74.5,Constant prices,2018M02,2018-02-01
47.11+47.2 retail sale with mostly food,,Constant prices,2018M03,2018-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,95.3,Constant prices,2018M03,2018-03-01
47.64 sports shops,77.0,Constant prices,2018M03,2018-03-01
47.71 clothing stores,96.5,Constant prices,2018M03,2018-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",95.3,Constant prices,2018M03,2018-03-01
47.11+47.2 retail sale with mostly food,,Constant prices,2018M04,2018-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,91.1,Constant prices,2018M04,2018-04-01
47.64 sports shops,98.4,Constant prices,2018M04,2018-04-01
47.71 clothing stores,112.9,Constant prices,2018M04,2018-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",89.7,Constant prices,2018M04,2018-04-01
47.11+47.2 retail sale with mostly food,,Constant prices,2018M05,2018-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,83.4,Constant prices,2018M05,2018-05-01
47.64 sports shops,104.9,Constant prices,2018M05,2018-05-01
47.71 clothing stores,124.3,Constant prices,2018M05,2018-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",92.5,Constant prices,2018M05,2018-05-01
47.11+47.2 retail sale with mostly food,,Constant prices,2018M06,2018-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,85.7,Constant prices,2018M06,2018-06-01
47.64 sports shops,96.2,Constant prices,2018M06,2018-06-01
47.71 clothing stores,130.3,Constant prices,2018M06,2018-06-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",91.3,Constant prices,2018M06,2018-06-01
47.11+47.2 retail sale with mostly food,,Constant prices,2018M07,2018-07-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,90.1,Constant prices,2018M07,2018-07-01
47.64 sports shops,102.7,Constant prices,2018M07,2018-07-01
47.71 clothing stores,123.5,Constant prices,2018M07,2018-07-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",73.7,Constant prices,2018M07,2018-07-01
47.11+47.2 retail sale with mostly food,,Constant prices,2018M08,2018-08-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,102.3,Constant prices,2018M08,2018-08-01
47.64 sports shops,104.4,Constant prices,2018M08,2018-08-01
47.71 clothing stores,123.0,Constant prices,2018M08,2018-08-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",81.6,Constant prices,2018M08,2018-08-01
47.11+47.2 retail sale with mostly food,,Constant prices,2018M09,2018-09-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,95.1,Constant prices,2018M09,2018-09-01
47.64 sports shops,79.3,Constant prices,2018M09,2018-09-01
47.71 clothing stores,110.5,Constant prices,2018M09,2018-09-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",97.4,Constant prices,2018M09,2018-09-01
47.11+47.2 retail sale with mostly food,,Constant prices,2018M10,2018-10-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,99.0,Constant prices,2018M10,2018-10-01
47.64 sports shops,83.0,Constant prices,2018M10,2018-10-01
47.71 clothing stores,114.7,Constant prices,2018M10,2018-10-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",101.0,Constant prices,2018M10,2018-10-01
47.11+47.2 retail sale with mostly food,,Constant prices,2018M11,2018-11-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,105.1,Constant prices,2018M11,2018-11-01
