category,value,observation_type,month,date
47.64 sports shops,88.0,"Seasonally adjusted, working day adjusted, constant prices",2023M01,2023-01-01
47.71 clothing stores,110.3,"Seasonally adjusted, working day adjusted, constant prices",2023M01,2023-01-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",108.5,"Seasonally adjusted, working day adjusted, constant prices",2023M01,2023-01-01
47.11+47.2 retail sale with mostly food,93.4,"Seasonally adjusted, working day adjusted, constant prices",2023M02,2023-02-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,75.2,"Seasonally adjusted, working day adjusted, constant prices",2023M02,2023-02-01
47.64 sports shops,85.4,"Seasonally adjusted, working day adjusted, constant prices",2023M02,2023-02-01
47.71 clothing stores,111.2,"Seasonally adjusted, working day adjusted, constant prices",2023M02,2023-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",90.0,"Seasonally adjusted, working day adjusted, constant prices",2023M02,2023-02-01
47.11+47.2 retail sale with mostly food,93.6,"Seasonally adjusted, working day adjusted, constant prices",2023M03,2023-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,74.5,"Seasonally adjusted, working day adjusted, constant prices",2023M03,2023-03-01
47.64 sports shops,80.0,"Seasonally adjusted, working day adjusted, constant prices",2023M03,2023-03-01
47.71 clothing stores,105.8,"Seasonally adjusted, working day adjusted, constant prices",2023M03,2023-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",109.1,"Seasonally adjusted, working day adjusted, constant prices",2023M03,2023-03-01
47.11+47.2 retail sale with mostly food,93.9,"Seasonally adjusted, working day adjusted, constant prices",2023M04,2023-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,73.4,"Seasonally adjusted, working day adjusted, constant prices",2023M04,2023-04-01
47.64 sports shops,85.8,"Seasonally adjusted, working day adjusted, constant prices",2023M04,2023-04-01
47.71 clothing stores,107.3,"Seasonally adjusted, working day adjusted, constant prices",2023M04,2023-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",112.1,"Seasonally adjusted, working day adjusted, constant prices",2023M04,2023-04-01
47.11+47.2 retail sale with mostly food,94.6,"Seasonally adjusted, working day adjusted, constant prices",2023M05,2023-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,73.6,"Seasonally adjusted, working day adjusted, constant prices",2023M05,2023-05-01
47.64 sports shops,86.2,"Seasonally adjusted, working day adjusted, constant prices",2023M05,2023-05-01
47.71 clothing stores,104.7,"Seasonally adjusted, working day adjusted, constant prices",2023M05,2023-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",111.0,"Seasonally adjusted, working day adjusted, constant prices",2023M05,2023-05-01
47.11+47.2 retail sale with mostly food,95.3,"Seasonally adjusted, working day adjusted, constant prices",2023M06,2023-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,73.6,"Seasonally adjusted, working day adjusted, constant prices",2023M06,2023-06-01
47.64 sports shops,84.6,"Seasonally adjusted, working day adjusted, constant prices",2023M06,2023-06-01
47.71 clothing stores,106.0,"Seasonally adjusted, working day adjusted, constant prices",2023M06,2023-06-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",115.3,"Seasonally adjusted, working day adjusted, constant prices",2023M06,2023-06-01
47.11+47.2 retail sale with mostly food,95.0,"Seasonally adjusted, working day adjusted, constant prices",2023M07,2023-07-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,77.8,"Seasonally adjusted, working day adjusted, constant prices",2023M07,2023-07-01
47.64 sports shops,86.6,"Seasonally adjusted, working day adjusted, constant prices",2023M07,2023-07-01
47.71 clothing stores,101.4,"Seasonally adjusted, working day adjusted, constant prices",2023M07,2023-07-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",112.1,"Seasonally adjusted, working day adjusted, constant prices",2023M07,2023-07-01
47.11+47.2 retail sale with mostly food,94.8,"Seasonally adjusted, working day adjusted, constant prices",2023M08,2023-08-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,77.5,"Seasonally adjusted, working day adjusted, constant prices",2023M08,2023-08-01
47.64 sports shops,79.5,"Seasonally adjusted, working day adjusted, constant prices",2023M08,2023-08-01
47.71 clothing stores,102.3,"Seasonally adjusted, working day adjusted, constant prices",2023M08,2023-08-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",112.0,"Seasonally adjusted, working day adjusted, constant prices",2023M08,2023-08-01
47.11+47.2 retail sale with mostly food,94.4,"Seasonally adjusted, working day adjusted, constant prices",2023M09,2023-09-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,68.3,"Seasonally adjusted, working day adjusted, constant prices",2023M09,2023-09-01
47.64 sports shops,83.3,"Seasonally adjusted, working day adjusted, constant prices",2023M09,2023-09-01
47.71 clothing stores,94.9,"Seasonally adjusted, working day adjusted, constant prices",2023M09,2023-09-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",101.8,"Seasonally adjusted, working day adjusted, constant prices",2023M09,2023-09-01
47.11+47.2 retail sale with mostly food,95.0,"Seasonally adjusted, working day adjusted, constant prices",2023M10,2023-10-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,71.0,"Seasonally adjusted, working day adjusted, constant prices",2023M10,2023-10-01
47.64 sports shops,85.4,"Seasonally adjusted, working day adjusted, constant prices",2023M10,2023-10-01
47.71 clothing stores,100.0,"Seasonally adjusted, working day adjusted, constant prices",2023M10,2023-10-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",103.6,"Seasonally adjusted, working day adjusted, constant prices",2023M10,2023-10-01
47.11+47.2 retail sale with mostly food,94.4,"Seasonally adjusted, working day adjusted, constant prices",2023M11,2023-11-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,70.8,"Seasonally adjusted, working day adjusted, constant prices",2023M11,2023-11-01
47.64 sports shops,87.0,"Seasonally adjusted, working day adjusted, constant prices",2023M11,2023-11-01
47.71 clothing stores,101.9,"Seasonally adjusted, working day adjusted, constant prices",2023M11,2023-11-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",112.2,"Seasonally adjusted, working day adjusted, constant prices",2023M11,2023-11-01
47.11+47.2 retail sale with mostly food,94.9,"Seasonally adjusted, working day adjusted, constant prices",2023M12,2023-12-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,69.2,"Seasonally adjusted, working day adjusted, constant prices",2023M12,2023-12-01
47.64 sports shops,78.5,"Seasonally adjusted, working day adjusted, constant prices",2023M12,2023-12-01
47.71 clothing stores,99.4,"Seasonally adjusted, working day adjusted, constant prices",2023M12,2023-12-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",120.9,"Seasonally adjusted, working day adjusted, constant prices",2023M12,2023-12-01
47.11+47.2 retail sale with mostly food,95.4,"Seasonally adjusted, working day adjusted, constant prices",2024M01,2024-01-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,70.0,"Seasonally adjusted, working day adjusted, constant prices",2024M01,2024-01-01
47.64 sports shops,78.6,"Seasonally adjusted, working day adjusted, constant prices",2024M01,2024-01-01
47.71 clothing stores,101.0,"Seasonally adjusted, working day adjusted, constant prices",2024M01,2024-01-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",126.1,"Seasonally adjusted, working day adjusted, constant prices",2024M01,2024-01-01
47.11+47.2 retail sale with mostly food,95.5,"Seasonally adjusted, working day adjusted, constant prices",2024M02,2024-02-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,68.8,"Seasonally adjusted, working day adjusted, constant prices",2024M02,2024-02-01
47.64 sports shops,79.4,"Seasonally adjusted, working day adjusted, constant prices",2024M02,2024-02-01
47.71 clothing stores,100.6,"Seasonally adjusted, working day adjusted, constant prices",2024M02,2024-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",123.7,"Seasonally adjusted, working day adjusted, constant prices",2024M02,2024-02-01
47.11+47.2 retail sale with mostly food,95.4,"Seasonally adjusted, working day adjusted, constant prices",2024M03,2024-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,68.2,"Seasonally adjusted, working day adjusted, constant prices",2024M03,2024-03-01
47.64 sports shops,74.4,"Seasonally adjusted, working day adjusted, constant prices",2024M03,2024-03-01
47.71 clothing stores,96.8,"Seasonally adjusted, working day adjusted, constant prices",2024M03,2024-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",129.9,"Seasonally adjusted, working day adjusted, constant prices",2024M03,2024-03-01
47.11+47.2 retail sale with mostly food,95.1,"Seasonally adjusted, working day adjusted, constant prices",2024M04,2024-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,70.4,"Seasonally adjusted, working day adjusted, constant prices",2024M04,2024-04-01
47.64 sports shops,79.1,"Seasonally adjusted, working day adjusted, constant prices",2024M04,2024-04-01
47.71 clothing stores,98.5,"Seasonally adjusted, working day adjusted, constant prices",2024M04,2024-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",124.7,"Seasonally adjusted, working day adjusted, constant prices",2024M04,2024-04-01
47.11+47.2 retail sale with mostly food,95.9,"Seasonally adjusted, working day adjusted, constant prices",2024M05,2024-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,66.7,"Seasonally adjusted, working day adjusted, constant prices",2024M05,2024-05-01
47.64 sports shops,84.0,"Seasonally adjusted, working day adjusted, constant prices",2024M05,2024-05-01
47.71 clothing stores,105.2,"Seasonally adjusted, working day adjusted, constant prices",2024M05,2024-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",128.5,"Seasonally adjusted, working day adjusted, constant prices",2024M05,2024-05-01
47.11+47.2 retail sale with mostly food,95.7,"Seasonally adjusted, working day adjusted, constant prices",2024M06,2024-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,71.1,"Seasonally adjusted, working day adjusted, constant prices",2024M06,2024-06-01
47.64 sports shops,78.4,"Seasonally adjusted, working day adjusted, constant prices",2024M06,2024-06-01
47.71 clothing stores,88.7,"Seasonally adjusted, working day adjusted, constant prices",2024M06,2024-06-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",121.9,"Seasonally adjusted, working day adjusted, constant prices",2024M06,2024-06-01
47.11+47.2 retail sale with mostly food,94.7,"Seasonally adjusted, working day adjusted, constant prices",2024M07,2024-07-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,71.2,"Seasonally adjusted, working day adjusted, constant prices",2024M07,2024-07-01
47.64 sports shops,79.4,"Seasonally adjusted, working day adjusted, constant prices",2024M07,2024-07-01
47.71 clothing stores,96.2,"Seasonally adjusted, working day adjusted, constant prices",2024M07,2024-07-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",125.7,"Seasonally adjusted, working day adjusted, constant prices",2024M07,2024-07-01
47.11+47.2 retail sale with mostly food,95.2,"Seasonally adjusted, working day adjusted, constant prices",2024M08,2024-08-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,71.1,"Seasonally adjusted, working day adjusted, constant prices",2024M08,2024-08-01
47.64 sports shops,81.6,"Seasonally adjusted, working day adjusted, constant prices",2024M08,2024-08-01
47.71 clothing stores,94.0,"Seasonally adjusted, working day adjusted, constant prices",2024M08,2024-08-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",129.3,"Seasonally adjusted, working day adjusted, constant prices",2024M08,2024-08-01
47.11+47.2 retail sale with mostly food,95.8,"Seasonally adjusted, working day adjusted, constant prices",2024M09,2024-09-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,67.6,"Seasonally adjusted, working day adjusted, constant prices",2024M09,2024-09-01
47.64 sports shops,81.4,"Seasonally adjusted, working day adjusted, constant prices",2024M09,2024-09-01
47.71 clothing stores,93.2,"Seasonally adjusted, working day adjusted, constant prices",2024M09,2024-09-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",129.0,"Seasonally adjusted, working day adjusted, constant prices",2024M09,2024-09-01
47.11+47.2 retail sale with mostly food,95.6,"Seasonally adjusted, working day adjusted, constant prices",2024M10,2024-10-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,73.4,"Seasonally adjusted, working day adjusted, constant prices",2024M10,2024-10-01
47.64 sports shops,82.9,"Seasonally adjusted, working day adjusted, constant prices",2024M10,2024-10-01
47.71 clothing stores,94.9,"Seasonally adjusted, working day adjusted, constant prices",2024M10,2024-10-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",124.1,"Seasonally adjusted, working day adjusted, constant prices",2024M10,2024-10-01
47.11+47.2 retail sale with mostly food,95.0,"Seasonally adjusted, working day adjusted, constant prices",2024M11,2024-11-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,73.4,"Seasonally adjusted, working day adjusted, constant prices",2024M11,2024-11-01
47.64 sports shops,83.9,"Seasonally adjusted, working day adjusted, constant prices",2024M11,2024-11-01
47.71 clothing stores,91.6,"Seasonally adjusted, working day adjusted, constant prices",2024M11,2024-11-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",123.7,"Seasonally adjusted, working day adjusted, constant prices",2024M11,2024-11-01
47.11+47.2 retail sale with mostly food,96.6,"Seasonally adjusted, working day adjusted, constant prices",2024M12,2024-12-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,74.9,"Seasonally adjusted, working day adjusted, constant prices",2024M12,2024-12-01
47.64 sports shops,86.3,"Seasonally adjusted, working day adjusted, constant prices",2024M12,2024-12-01
47.71 clothing stores,100.8,"Seasonally adjusted, working day adjusted, constant prices",2024M12,2024-12-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",142.6,"Seasonally adjusted, working day adjusted, constant prices",2024M12,2024-12-01
47.11+47.2 retail sale with mostly food,95.7,"Seasonally adjusted, working day adjusted, constant prices",2025M01,2025-01-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,73.4,"Seasonally adjusted, working day adjusted, constant prices",2025M01,2025-01-01
47.64 sports shops,82.7,"Seasonally adjusted, working day adjusted, constant prices",2025M01,2025-01-01
47.71 clothing stores,93.0,"Seasonally adjusted, working day adjusted, constant prices",2025M01,2025-01-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",124.7,"Seasonally adjusted, working day adjusted, constant prices",2025M01,2025-01-01
47.11+47.2 retail sale with mostly food,95.8,"Seasonally adjusted, working day adjusted, constant prices",2025M02,2025-02-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,76.3,"Seasonally adjusted, working day adjusted, constant prices",2025M02,2025-02-01
47.64 sports shops,82.3,"Seasonally adjusted, working day adjusted, constant prices",2025M02,2025-02-01
47.71 clothing stores,92.4,"Seasonally adjusted, working day adjusted, constant prices",2025M02,2025-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",124.9,"Seasonally adjusted, working day adjusted, constant prices",2025M02,2025-02-01
47.11+47.2 retail sale with mostly food,95.5,"Seasonally adjusted, working day adjusted, constant prices",2025M03,2025-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,74.8,"Seasonally adjusted, working day adjusted, constant prices",2025M03,2025-03-01
47.64 sports shops,84.2,"Seasonally adjusted, working day adjusted, constant prices",2025M03,2025-03-01
47.71 clothing stores,95.4,"Seasonally adjusted, working day adjusted, constant prices",2025M03,2025-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",121.1,"Seasonally adjusted, working day adjusted, constant prices",2025M03,2025-03-01
47.11+47.2 retail sale with mostly food,96.8,"Seasonally adjusted, working day adjusted, constant prices",2025M04,2025-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,75.2,"Seasonally adjusted, working day adjusted, constant prices",2025M04,2025-04-01
47.64 sports shops,84.1,"Seasonally adjusted, working day adjusted, constant prices",2025M04,2025-04-01
47.71 clothing stores,99.3,"Seasonally adjusted, working day adjusted, constant prices",2025M04,2025-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",122.3,"Seasonally adjusted, working day adjusted, constant prices",2025M04,2025-04-01
47.11+47.2 retail sale with mostly food,94.0,"Seasonally adjusted, working day adjusted, constant prices",2025M05,2025-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,74.4,"Seasonally adjusted, working day adjusted, constant prices",2025M05,2025-05-01
47.64 sports shops,77.5,"Seasonally adjusted, working day adjusted, constant prices",2025M05,2025-05-01
47.71 clothing stores,90.0,"Seasonally adjusted, working day adjusted, constant prices",2025M05,2025-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",124.4,"Seasonally adjusted, working day adjusted, constant prices",2025M05,2025-05-01
47.11+47.2 retail sale with mostly food,94.4,"Seasonally adjusted, working day adjusted, constant prices",2025M06,2025-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,74.5,"Seasonally adjusted, working day adjusted, constant prices",2025M06,2025-06-01
47.64 sports shops,81.9,"Seasonally adjusted, working day adjusted, constant prices",2025M06,2025-06-01
47.71 clothing stores,94.3,"Seasonally adjusted, working day adjusted, constant prices",2025M06,2025-06-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",134.6,"Seasonally adjusted, working day adjusted, constant prices",2025M06,2025-06-01
47.11+47.2 retail sale with mostly food,95.8,"Seasonally adjusted, working day adjusted, constant prices",2025M07,2025-07-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,75.0,"Seasonally adjusted, working day adjusted, constant prices",2025M07,2025-07-01
47.64 sports shops,81.1,"Seasonally adjusted, working day adjusted, constant prices",2025M07,2025-07-01
47.71 clothing stores,98.0,"Seasonally adjusted, working day adjusted, constant prices",2025M07,2025-07-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",120.5,"Seasonally adjusted, working day adjusted, constant prices",2025M07,2025-07-01
47.11+47.2 retail sale with mostly food,95.7,"Seasonally adjusted, working day adjusted, constant prices",2025M08,2025-08-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,76.4,"Seasonally adjusted, working day adjusted, constant prices",2025M08,2025-08-01
47.64 sports shops,83.0,"Seasonally adjusted, working day adjusted, constant prices",2025M08,2025-08-01
47.71 clothing stores,99.0,"Seasonally adjusted, working day adjusted, constant prices",2025M08,2025-08-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",131.1,"Seasonally adjusted, working day adjusted, constant prices",2025M08,2025-08-01
47.11+47.2 retail sale with mostly food,95.9,"Seasonally adjusted, working day adjusted, constant prices",2025M09,2025-09-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,76.6,"Seasonally adjusted, working day adjusted, constant prices",2025M09,2025-09-01
47.64 sports shops,85.8,"Seasonally adjusted, working day adjusted, constant prices",2025M09,2025-09-01
47.71 clothing stores,98.0,"Seasonally adjusted, working day adjusted, constant prices",2025M09,2025-09-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",137.6,"Seasonally adjusted, working day adjusted, constant prices",2025M09,2025-09-01
47.11+47.2 retail sale with mostly food,96.1,"Seasonally adjusted, working day adjusted, constant prices",2025M10,2025-10-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,77.6,"Seasonally adjusted, working day adjusted, constant prices",2025M10,2025-10-01
47.64 sports shops,82.8,"Seasonally adjusted, working day adjusted, constant prices",2025M10,2025-10-01
47.71 clothing stores,97.2,"Seasonally adjusted, working day adjusted, constant prices",2025M10,2025-10-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",160.0,"Seasonally adjusted, working day adjusted, constant prices",2025M10,2025-10-01
47.11+47.2 retail sale with mostly food,96.5,"Seasonally adjusted, working day adjusted, constant prices",2025M11,2025-11-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,78.2,"Seasonally adjusted, working day adjusted, constant prices",2025M11,2025-11-01
47.64 sports shops,82.7,"Seasonally adjusted, working day adjusted, constant prices",2025M11,2025-11-01
47.71 clothing stores,98.6,"Seasonally adjusted, working day adjusted, constant prices",2025M11,2025-11-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",144.6,"Seasonally adjusted, working day adjusted, constant prices",2025M11,2025-11-01
47.11+47.2 retail sale with mostly food,96.1,"Seasonally adjusted, working day adjusted, constant prices",2025M12,2025-12-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,78.5,"Seasonally adjusted, working day adjusted, constant prices",2025M12,2025-12-01
47.64 sports shops,82.6,"Seasonally adjusted, working day adjusted, constant prices",2025M12,2025-12-01
47.71 clothing stores,97.1,"Seasonally adjusted, working day adjusted, constant prices",2025M12,2025-12-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",139.9,"Seasonally adjusted, working day adjusted, constant prices",2025M12,2025-12-01
47.11+47.2 retail sale with mostly food,96.2,"Seasonally adjusted, working day adjusted, constant prices",2026M01,2026-01-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,78.8,"Seasonally adjusted, working day adjusted, constant prices",2026M01,2026-01-01
47.64 sports shops,87.6,"Seasonally adjusted, working day adjusted, constant prices",2026M01,2026-01-01
47.71 clothing stores,95.5,"Seasonally adjusted, working day adjusted, constant prices",2026M01,2026-01-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",137.4,"Seasonally adjusted, working day adjusted, constant prices",2026M01,2026-01-01
47.11+47.2 retail sale with mostly food,95.7,"Seasonally adjusted, working day adjusted, constant prices",2026M02,2026-02-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,78.0,"Seasonally adjusted, working day adjusted, constant prices",2026M02,2026-02-01
47.64 sports shops,85.3,"Seasonally adjusted, working day adjusted, constant prices",2026M02,2026-02-01
47.71 clothing stores,95.9,"Seasonally adjusted, working day adjusted, constant prices",2026M02,2026-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",142.7,"Seasonally adjusted, working day adjusted, constant prices",2026M02,2026-02-01
47.11+47.2 retail sale with mostly food,97.3,"Seasonally adjusted, working day adjusted, constant prices",2026M03,2026-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,80.6,"Seasonally adjusted, working day adjusted, constant prices",2026M03,2026-03-01
47.64 sports shops,86.6,"Seasonally adjusted, working day adjusted, constant prices",2026M03,2026-03-01
47.71 clothing stores,102.4,"Seasonally adjusted, working day adjusted, constant prices",2026M03,2026-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",143.9,"Seasonally adjusted, working day adjusted, constant prices",2026M03,2026-03-01
47.11+47.2 retail sale with mostly food,99.9,"Seasonally adjusted, working day adjusted, constant prices",2026M04,2026-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,79.1,"Seasonally adjusted, working day adjusted, constant prices",2026M04,2026-04-01
47.64 sports shops,84.4,"Seasonally adjusted, working day adjusted, constant prices",2026M04,2026-04-01
47.71 clothing stores,99.0,"Seasonally adjusted, working day adjusted, constant prices",2026M04,2026-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",145.8,"Seasonally adjusted, working day adjusted, constant prices",2026M04,2026-04-01
47.11+47.2 retail sale with mostly food,98.7,"Seasonally adjusted, working day adjusted, constant prices",2026M05,2026-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,81.4,"Seasonally adjusted, working day adjusted, constant prices",2026M05,2026-05-01
47.64 sports shops,85.0,"Seasonally adjusted, working day adjusted, constant prices",2026M05,2026-05-01
47.71 clothing stores,98.5,"Seasonally adjusted, working day adjusted, constant prices",2026M05,2026-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",142.2,"Seasonally adjusted, working day adjusted, constant prices",2026M05,2026-05-01
47.11+47.2 retail sale with mostly food,98.8,"Seasonally adjusted, working day adjusted, constant prices",2026M06,2026-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,81.4,"Seasonally adjusted, working day adjusted, constant prices",2026M06,2026-06-01
47.64 sports shops,87.6,"Seasonally adjusted, working day adjusted, constant prices",2026M06,2026-06-01
47.71 clothing stores,100.5,"Seasonally adjusted, working day adjusted, constant prices",2026M06,2026-06-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",149.1,"Seasonally adjusted, working day adjusted, constant prices",2026M06,2026-06-01
47.11+47.2 retail sale with mostly food,99.2,"Seasonally adjusted, working day adjusted, constant prices",2026M07,2026-07-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,82.0,"Seasonally adjusted, working day adjusted, constant prices",2026M07,2026-07-01
47.64 sports shops,86.3,"Seasonally adjusted, working day adjusted, constant prices",2026M07,2026-07-01
47.71 clothing stores,99.0,"Seasonally adjusted, working day adjusted, constant prices",2026M07,2026-07-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",149.3,"Seasonally adjusted, working day adjusted, constant prices",2026M07,2026-07-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2015M01,2015-01-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,12.3,"Yearly development in percent, working day adjusted, constant prices",2015M01,2015-01-01
47.64 sports shops,5.8,"Yearly development in percent, working day adjusted, constant prices",2015M01,2015-01-01
47.71 clothing stores,7.2,"Yearly development in percent, working day adjusted, constant prices",2015M01,2015-01-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",16.5,"Yearly development in percent, working day adjusted, constant prices",2015M01,2015-01-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2015M02,2015-02-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,6.3,"Yearly development in percent, working day adjusted, constant prices",2015M02,2015-02-01
47.64 sports shops,5.3,"Yearly development in percent, working day adjusted, constant prices",2015M02,2015-02-01
47.71 clothing stores,5.7,"Yearly development in percent, working day adjusted, constant prices",2015M02,2015-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",13.2,"Yearly development in percent, working day adjusted, constant prices",2015M02,2015-02-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2015M03,2015-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,9.9,"Yearly development in percent, working day adjusted, constant prices",2015M03,2015-03-01
47.64 sports shops,4.5,"Yearly development in percent, working day adjusted, constant prices",2015M03,2015-03-01
47.71 clothing stores,4.4,"Yearly development in percent, working day adjusted, constant prices",2015M03,2015-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",19.8,"Yearly development in percent, working day adjusted, constant prices",2015M03,2015-03-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2015M04,2015-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,13.9,"Yearly development in percent, working day adjusted, constant prices",2015M04,2015-04-01
47.64 sports shops,11.1,"Yearly development in percent, working day adjusted, constant prices",2015M04,2015-04-01
47.71 clothing stores,1.5,"Yearly development in percent, working day adjusted, constant prices",2015M04,2015-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",10.0,"Yearly development in percent, working day adjusted, constant prices",2015M04,2015-04-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2015M05,2015-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,12.6,"Yearly development in percent, working day adjusted, constant prices",2015M05,2015-05-01
47.64 sports shops,9.4,"Yearly development in percent, working day adjusted, constant prices",2015M05,2015-05-01
47.71 clothing stores,-3.3,"Yearly development in percent, working day adjusted, constant prices",2015M05,2015-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",20.3,"Yearly development in percent, working day adjusted, constant prices",2015M05,2015-05-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2015M06,2015-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,12.8,"Yearly development in percent, working day adjusted, constant prices",2015M06,2015-06-01
47.64 sports shops,10.7,"Yearly development in percent, working day adjusted, constant prices",2015M06,2015-06-01
